Curso;Módulo atual;Faltas Consecutivas;Idade;Sexo;Bairro;Cidade;Pend. Acad.;Possui Pendência Financeira;Bolsista;Antecipou Parcela;Situação (código)
Curso Técnico em Administração;0;0;30;0;Brasil;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;21;1;Pe de Galinha;Vitória da Conquista;0;0;0;0;1
Curso Técnico em Administração;0;0;34;1;Rural;Presidente Jânio Quadros;0;0;0;0;2
Curso Técnico em Administração;0;0;28;1;Cruzeiro;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;31;1;Felícia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;31;0;Patagônia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;25;0;Patagônia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;43;1;Jardim Valeria ;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;26;0;Rural rancho Alegre;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;24;1;Patagônia;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;27;0;Zabelê;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;26;0;Guarani;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;24;1;Alto Maron;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;25;1;Boa Vista;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;26;1;Ayrton Senna;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;23;0;Primavera-Nova Cidade;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;30;1;Boa Vista;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;26;0;Espírito Santo;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;25;0;Candeias;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;25;0;Cruzeiro;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;31;0;Kadija;Vitória da Conquista;0;0;0;0;1
Curso Técnico em Administração;0;0;24;1;Brasil;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;3;0;20;0;Alto Maron;Vitória da Conquista;1;0;0;0;8
